zip_code,rent_1br,rent_2br,rent_3br
91901,2552,3113,4147
91902,2827,3454,4598
91903,2706,3300,4400
91905,2431,2959,3938
91906,1991,2431,3234
91908,2706,3300,4400
91910,2508,3058,4070
91911,2541,3102,4136
91912,2706,3300,4400
91913,3696,4510,6006
91914,4059,4950,6589
91915,3762,4587,6116
91916,2772,3443,4598
91917,2662,3245,4323
91921,2706,3300,4400
91931,2926,3575,4752
91932,2519,3069,4092
91933,2706,3300,4400
91934,2706,3300,4400
91935,2662,3245,4323
91941,2508,3058,4070
91942,2717,3311,4411
91943,2706,3300,4400
91944,2706,3300,4400
91945,2222,2706,3608
91946,2706,3300,4400
91948,2640,3223,4290
91950,2112,2574,3432
91951,2706,3300,4400
91962,3124,3806,5071
91963,2706,3300,4400
91976,2706,3300,4400
91977,2321,2827,3762
91978,2893,3531,4708
91979,2706,3300,4400
91980,2706,3300,4400
92003,2618,3201,4268
92004,1320,1606,2145
92007,3454,4213,5610
92008,3124,3817,5082
92009,3575,4367,5819
92010,3410,4158,5544
92011,3861,4708,6270
92013,2706,3300,4400
92014,4059,4950,6589
92018,2706,3300,4400
92019,2750,3355,4466
92020,2409,2937,3916
92021,2332,2849,3795
92022,2706,3300,4400
92023,2706,3300,4400
92024,3487,4257,5676
92025,2486,3036,4048
92026,2684,3278,4367
92027,2409,2937,3916
92028,2200,2684,3575
92029,3014,3674,4895
92030,2706,3300,4400
92033,2706,3300,4400
92036,2068,2519,3355
92037,3168,3861,5148
92038,2706,3300,4400
92039,2706,3300,4400
92040,2376,2893,3850
92046,2706,3300,4400
92049,2706,3300,4400
92051,2706,3300,4400
92052,2706,3300,4400
92054,2563,3124,4158
92055,3014,3795,5115
92056,3157,3850,5126
92057,2871,3509,4675
92058,2882,3520,4686
92059,1991,2431,3234
92060,1892,2343,3124
92061,2475,3069,4092
92064,2816,3443,4587
92065,2508,3058,4070
92066,1617,1969,2629
92067,3498,4268,5687
92068,2706,3300,4400
92069,2651,3234,4312
92070,2255,2750,3663
92071,2640,3223,4290
92072,2706,3300,4400
92074,2706,3300,4400
92075,3784,4620,6160
92078,3047,3718,4950
92079,2706,3300,4400
92081,3047,3718,4950
92082,1903,2321,3091
92083,2651,3234,4312
92084,2508,3058,4070
92085,2706,3300,4400
92086,1771,2167,2882
92088,2706,3300,4400
92091,3465,4279,5731
92092,2706,3300,4400
92093,3168,3861,5148
92096,2706,3300,4400
92101,3883,4741,6314
92102,2519,3080,4103
92103,3058,3729,4972
92104,2783,3399,4532
92105,2189,2673,3564
92106,2871,3509,4675
92107,3047,3718,4950
92108,3949,4818,6424
92109,3344,4081,5434
92110,3113,3795,5060
92111,2684,3278,4367
92112,2706,3300,4400
92113,2178,2662,3542
92114,2376,2904,3872
92115,2541,3102,4136
92116,2739,3344,4455
92117,2706,3300,4400
92118,4059,4950,6589
92119,2772,3388,4510
92120,3014,3674,4895
92121,3168,3872,5159
92122,3553,4334,5775
92123,3421,4180,5566
92124,3872,4730,6303
92126,3355,4092,5456
92127,3256,3971,5291
92128,3465,4224,5632
92129,2926,3575,4763
92130,4059,4950,6589
92131,3751,4576,6094
92132,2706,3300,4400
92134,3795,4631,6171
92135,4059,4950,6589
92136,2145,2618,3487
92137,2706,3300,4400
92138,2706,3300,4400
92139,2596,3168,4224
92140,3641,4444,5918
92142,2706,3300,4400
92143,2706,3300,4400
92145,3267,3993,5313
92147,3289,4015,5346
92149,2706,3300,4400
92150,2706,3300,4400
92152,2706,3300,4400
92153,2706,3300,4400
92154,2662,3245,4323
92155,4059,4950,6589
92159,2706,3300,4400
92160,2706,3300,4400
92161,2706,3300,4400
92163,2706,3300,4400
92165,2706,3300,4400
92166,2706,3300,4400
92167,2706,3300,4400
92168,2706,3300,4400
92169,2706,3300,4400
92170,2706,3300,4400
92171,2706,3300,4400
92172,2706,3300,4400
92173,2189,2673,3564
92174,2706,3300,4400
92175,2706,3300,4400
92176,2706,3300,4400
92177,2706,3300,4400
92178,2706,3300,4400
92179,2662,3245,4323
92182,2706,3300,4400
92191,2706,3300,4400
92192,2706,3300,4400
92193,2706,3300,4400
92195,2706,3300,4400
92196,2706,3300,4400
92198,2706,3300,4400
92536,1672,2068,2761
92562,2464,3058,4048
92590,1628,2013,2684
92672,3047,3608,4884
