zip_code,school_count,school_rating
92139,7,5.0
92040,14,6.75
92024,16,6.07
91945,7,6.84
92118,5,6.84
92121,7,5.27
92105,14,5.08
91978,1,6.45
92129,12,4.83
92122,5,4.77
92127,10,5.35
91932,7,6.69
92102,15,5.11
92114,14,5.23
92103,6,5.33
92007,2,6.79
92115,13,4.92
92111,23,5.41
92021,12,6.45
92110,7,5.25
92037,5,4.88
91902,3,6.29
91935,3,6.45
91941,17,6.41
91901,6,6.57
92101,9,5.51
92113,13,5.12
91911,23,5.28
92107,4,5.06
91942,10,6.55
92106,20,5.27
92067,3,7.42
92075,2,6.74
92029,3,7.01
92130,11,5.21
92120,7,4.67
92173,7,5.01
92154,18,5.0
92131,6,4.62
92009,22,5.05
92128,6,4.86
92025,13,6.79
92117,16,5.38
91915,4,4.84
92124,8,4.99
92014,2,5.53
92019,14,6.66
92109,6,5.07
92071,12,6.84
91950,16,6.7
91914,4,4.87
92064,13,4.9
92126,10,4.87
92116,5,5.09
91910,22,5.05
92108,4,5.24
91977,7,6.92
92119,4,4.87
91913,11,4.94
92104,4,5.21
92020,14,6.86
92123,11,5.09
